ONTOLOGY	TERM	N	DE	P.DE	FDR
BP	maltose metabolic process	3	1	0.047942952437215	0.776893751993962
BP	maltose catabolic process	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of transcription by RNA polymerase II	927	24	0.0173557754909929	0.544689647321176
CC	Golgi trans cisterna	12	3	0.000838965608968663	0.108012521898731
BP	polysaccharide catabolic process	19	2	0.0375072598331687	0.733303890620032
BP	response to reactive oxygen species	200	7	0.0454966758384555	0.776893751993962
CC	nucleosome	112	5	0.0361246352857461	0.716712764069202
BP	cell morphogenesis	1001	25	0.0227335301761972	0.641147372682466
BP	cell morphogenesis involved in differentiation	711	20	0.012892478458616	0.517672155853932
MF	DNA-binding transcription repressor activity	324	10	0.0399466011319474	0.764615479384657
MF	DNA-binding transcription repressor activity, RNA polymerase II-specific	320	10	0.0372266317106603	0.732841095004681
BP	skeletal system development	524	15	0.0252214434228802	0.678840265355564
BP	action potential	142	9	0.000537827144612036	0.0864159445878043
MF	lipopolysaccharide binding	34	4	0.00216271005198603	0.192751533383255
CC	radial spoke	4	2	0.00154518587420655	0.158093995093707
BP	cilium or flagellum-dependent cell motility	150	7	0.0114957689815208	0.517672155853932
BP	luteinization	12	2	0.0155960587680964	0.517672155853932
BP	regulation of cell growth	414	13	0.0185799458154083	0.564178494023761
BP	gastrin-induced gastric acid secretion	2	1	0.032222300463713	0.678840265355564
BP	mesodermal cell fate commitment	17	2	0.0304697628520506	0.678840265355564
BP	endodermal cell fate commitment	15	2	0.0240301445249198	0.653482452301036
BP	endodermal cell fate specification	8	2	0.00690648854007463	0.416874186588208
BP	cell activation	1017	28	0.00483872963248008	0.352717109567621
BP	cytokine production	820	23	0.00826258404001816	0.45980272550501
BP	regulation of cytokine production	806	23	0.00679265043266823	0.416874186588208
BP	negative regulation of cytokine production	362	16	0.000315595741393549	0.0600052702969601
BP	release of cytochrome c from mitochondria	56	6	0.000289198829277651	0.0573175120678474
MF	opsonin receptor activity	4	2	0.00154518587420655	0.158093995093707
MF	complement component C4b binding	2	1	0.032222300463713	0.678840265355564
MF	complement component C4b receptor activity	1	1	0.0162427340561485	0.517672155853932
BP	complement activation, lectin pathway	12	3	0.000838965608968663	0.108012521898731
BP	liver development	134	7	0.0063794457590495	0.415866955538496
BP	cytolysis by symbiont of host cells	1	1	0.0162427340561485	0.517672155853932
BP	regulation of cytolysis by symbiont of host cells	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of cytolysis by symbiont of host cells	1	1	0.0162427340561485	0.517672155853932
BP	activation of membrane attack complex	3	1	0.047942952437215	0.776893751993962
BP	killing by symbiont of host cells	1	1	0.0162427340561485	0.517672155853932
BP	regulation of protein phosphorylation	1096	26	0.0353191090658052	0.705022565569039
BP	regulation of activation of membrane attack complex	3	1	0.047942952437215	0.776893751993962
BP	positive regulation of activation of membrane attack complex	2	1	0.032222300463713	0.678840265355564
BP	negative regulation of activation of membrane attack complex	2	1	0.032222300463713	0.678840265355564
BP	regulation of heart rate	104	5	0.0274519800544488	0.678840265355564
BP	negative regulation of L-glutamate import across plasma membrane	2	1	0.032222300463713	0.678840265355564
MF	dystroglycan binding	11	2	0.0131365432415751	0.517672155853932
BP	pattern recognition receptor signaling pathway	174	7	0.0239475372681767	0.653482452301036
BP	toll-like receptor signaling pathway	121	6	0.0142554469683068	0.517672155853932
BP	innate immune response in mucosa	21	4	0.00032959343947537	0.0612134168527303
BP	response to molecule of bacterial origin	354	14	0.00209969261005789	0.192395930084662
BP	organ or tissue specific immune response	35	5	0.000239553814179933	0.0515905786067762
BP	immune effector process	594	16	0.034458352862723	0.698225453353835
BP	activation of immune response	310	10	0.0309945900976952	0.678840265355564
BP	myeloid leukocyte activation	230	11	0.00142809034239634	0.152621624013627
BP	basophil activation involved in immune response	2	1	0.032222300463713	0.678840265355564
BP	myeloid dendritic cell activation involved in immune response	3	1	0.047942952437215	0.776893751993962
BP	macrophage activation involved in immune response	18	2	0.0339166439843462	0.694028833315555
BP	T-helper cell lineage commitment	17	2	0.0304697628520506	0.678840265355564
BP	response to tumor cell	39	4	0.00359926565456049	0.283175328187766
BP	alpha-beta T cell lineage commitment	22	2	0.0490866901637231	0.783398227259075
BP	immune system process	2455	75	5.66013809700426e-08	6.45708554106246e-05
BP	immunoglobulin production	122	5	0.0490997311088919	0.783398227259075
BP	mucosal immune response	32	5	0.000154657346580206	0.0390443075937088
BP	antigen sampling in mucosal-associated lymphoid tissue	1	1	0.0162427340561485	0.517672155853932
BP	antigen sampling by M cells in mucosal-associated lymphoid tissue	1	1	0.0162427340561485	0.517672155853932
BP	antigen transcytosis by M cells in mucosal-associated lymphoid tissue	1	1	0.0162427340561485	0.517672155853932
BP	immunoglobulin transcytosis in epithelial cells	3	1	0.047942952437215	0.776893751993962
BP	IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor	1	1	0.0162427340561485	0.517672155853932
BP	complement receptor mediated signaling pathway	12	3	0.000838965608968663	0.108012521898731
BP	immune complex clearance by erythrocytes	1	1	0.0162427340561485	0.517672155853932
BP	chronic inflammatory response to antigenic stimulus	3	1	0.047942952437215	0.776893751993962
BP	T cell tolerance induction	15	2	0.0240301445249198	0.653482452301036
BP	immune system development	955	26	0.00747777102310815	0.434453921926445
BP	leukocyte differentiation	551	17	0.00917478230453344	0.49138927948412
BP	leukocyte migration involved in inflammatory response	19	3	0.00339640926935503	0.270952705907708
BP	production of molecular mediator involved in inflammatory response	96	5	0.0202355582530459	0.596406625540847
BP	cytokine production involved in inflammatory response	75	4	0.0338290440542455	0.694028833315555
BP	chronic inflammatory response	17	2	0.0304697628520506	0.678840265355564
BP	myeloid leukocyte differentiation	210	11	0.0006826569850007	0.101139621881662
BP	regulation of antigen processing and presentation	20	2	0.0412360573253742	0.775632220886841
BP	positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of antigen processing and presentation of peptide antigen	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of antigen processing and presentation of peptide antigen via MHC class II	2	1	0.032222300463713	0.678840265355564
BP	regulation of immunoglobulin production	73	5	0.00671029120142656	0.416874186588208
BP	negative regulation of immunoglobulin production	12	3	0.000838965608968663	0.108012521898731
BP	regulation of tolerance induction	20	2	0.0412360573253742	0.775632220886841
BP	regulation of T cell tolerance induction	13	2	0.01823578537058	0.55749516199645
BP	regulation of immune system process	1358	36	0.00276656092187383	0.236311454328378
BP	negative regulation of immune system process	424	14	0.00999717588108117	0.511425033414233
BP	positive regulation of immune system process	840	23	0.0108040383213647	0.517672155853932
BP	regulation of leukocyte migration	215	10	0.0028348619618023	0.239556335261042
BP	positive regulation of leukocyte migration	138	7	0.00745657641251114	0.434453921926445
