ONTOLOGY	TERM	N	DE	P.DE	FDR
BP	biological_process	17957	364	5.15488449596314e-21	5.88069223299475e-17
BP	cellular process	16714	344	6.52840899197806e-18	2.97904359121943e-14
BP	biological regulation	12476	265	1.02879862048519e-10	2.6081188138878e-07
BP	developmental process	6301	156	1.80769113853139e-09	3.7494800924302e-06
BP	multicellular organismal process	7364	175	2.14106315226619e-09	3.75773052939272e-06
BP	response to stimulus	8581	196	2.65294479842347e-09	4.32354203720214e-06
BP	regulation of biological process	11762	248	4.21193167801318e-09	6.40662887770325e-06
BP	regulation of cellular process	10963	233	1.4950078458935e-08	1.93523394324952e-05
BP	localization	6104	149	1.52674487107694e-08	1.93523394324952e-05
BP	immune system process	2455	75	5.66013809700426e-08	6.45708554106246e-05
BP	establishment of localization	4521	115	2.02327128365143e-07	0.000192345656699129
BP	cellular developmental process	4172	108	2.35291612456272e-07	0.000214736537192092
BP	ion transport	1509	52	2.45678966476802e-07	0.000215592742274412
BP	cell differentiation	4146	107	3.20156432089772e-07	0.000262840127838564
BP	transport	4367	111	3.80913603914017e-07	0.000299687061617318
BP	regulation of molecular function	3048	84	6.65550557862831e-07	0.000506173384273278
BP	immune response	1577	52	9.3263146619872e-07	0.000686416759122258
BP	negative regulation of multicellular organismal process	1118	41	1.10333270112386e-06	0.000786676215901309
BP	anatomical structure development	5751	135	1.19524879034124e-06	0.000795004783653504
BP	regulation of multicellular organismal process	2751	77	1.22160655826278e-06	0.000795004783653504
BP	negative regulation of biological process	5710	134	1.36754164504979e-06	0.000843292707390703
BP	regulation of developmental process	2436	70	1.65083691847887e-06	0.000965781926461893
BP	humoral immune response	236	16	1.77521175338674e-06	0.00101258078413179
BP	negative regulation of cellular process	4934	119	1.9144065643174e-06	0.00106501344779758
BP	response to external stimulus	2661	74	2.62764441166587e-06	0.0013625530658311
BP	defense response	1644	52	3.14248508171733e-06	0.0015933097694325
BP	negative regulation of cellular component organization	696	29	4.10630275317273e-06	0.00199339156630615
BP	cellular response to stimulus	7245	159	5.03386375594514e-06	0.00234393133582947
BP	signaling	6295	142	5.34904913377832e-06	0.00244087810072572
BP	response to stress	3735	94	6.40607268712714e-06	0.00286590106724496
BP	inorganic ion transmembrane transport	832	32	6.80300729362251e-06	0.00298495027714022
BP	cell communication	6350	142	8.72065682385454e-06	0.00375416049232199
BP	antimicrobial humoral response	110	10	1.26375358881819e-05	0.00533959294119922
BP	antibacterial humoral response	50	7	1.54772312088378e-05	0.00608842253898006
BP	positive regulation of extrinsic apoptotic signaling pathway	50	7	1.54772312088378e-05	0.00608842253898006
BP	signal transduction	5812	131	1.65884375639786e-05	0.00630802985766228
BP	regulation of multicellular organismal development	1385	44	1.73496718886285e-05	0.00648934612804834
BP	ion transmembrane transport	1088	37	2.01943583777126e-05	0.00743152388299825
BP	response to biotic stimulus	1409	44	2.62183657841997e-05	0.00920304974972771
BP	cell surface receptor signaling pathway	2675	70	3.88941215867268e-05	0.013445579971557
BP	regulation of hydrolase activity	1000	34	4.44456315735837e-05	0.0151353959698938
BP	regulation of localization	2793	72	4.79199096385769e-05	0.0160785390928496
BP	regeneration	185	12	5.34729099726212e-05	0.0176817088976134
BP	defense response to bacterium	278	15	5.51951897347709e-05	0.0179904778426933
BP	negative regulation of developmental process	929	32	5.8648669606557e-05	0.0188468738837071
BP	regulation of endopeptidase activity	422	19	6.97290496977362e-05	0.0214991621338317
BP	defense response to Gram-negative bacterium	85	8	7.30028551406939e-05	0.022208441905201
BP	negative regulation of molecular function	1160	37	7.73075265239478e-05	0.0232085332259262
BP	transmembrane transport	1488	44	9.31148339494243e-05	0.0266698014052358
BP	negative regulation of neurogenesis	140	10	0.000100559081964232	0.0283253828900729
BP	anion transport	513	21	0.00011312782628919	0.0314771278611482
BP	regulation of ion transport	674	25	0.000123738228425314	0.0332142519970819
BP	regulation of catalytic activity	2325	61	0.000123520144810496	0.0332142519970819
BP	response to other organism	1367	41	0.000120862613406321	0.0332142519970819
BP	response to external biotic stimulus	1370	41	0.000126646321945401	0.0335995637384451
BP	negative regulation of nervous system development	145	10	0.000134525172931879	0.035279613167974
BP	inorganic cation transmembrane transport	765	27	0.000150623866522417	0.0387614220982928
BP	mucosal immune response	32	5	0.000154657346580206	0.0390443075937088
BP	proteolysis	1759	49	0.000155725455427222	0.0390443075937088
BP	regulation of peptidase activity	452	19	0.000169932310982504	0.0421432131236609
BP	growth	943	31	0.00017635422460427	0.0432655697695808
BP	negative regulation of cell development	180	11	0.000184107847990462	0.0442168911552671
BP	antimicrobial humoral immune response mediated by antimicrobial peptide	73	7	0.000183361554857229	0.0442168911552671
BP	negative regulation of proteolysis	346	16	0.000190457921448526	0.045265499330933
BP	negative regulation of catalytic activity	780	27	0.000205585783598499	0.0483571674080758
BP	negative regulation of endopeptidase activity	247	13	0.000218387187769617	0.0493338819420948
BP	regulation of transport	1736	48	0.000216895414348023	0.0493338819420948
BP	regulation of superoxide dismutase activity	8	3	0.000224146640273893	0.0501385269067562
BP	organ or tissue specific immune response	35	5	0.000239553814179933	0.0515905786067762
BP	anatomical structure morphogenesis	2737	68	0.000239682737215913	0.0515905786067762
BP	regulation of interleukin-8 production	102	8	0.000261971359026263	0.0540939916225652
BP	cation transmembrane transport	876	29	0.000253898339509836	0.0540939916225652
BP	regulation of calcium-dependent ATPase activity	2	2	0.000263167648584534	0.0540939916225652
BP	interleukin-8 production	103	8	0.00028007542859981	0.0567191994580091
BP	release of cytochrome c from mitochondria	56	6	0.000289198829277651	0.0573175120678474
BP	regulation of ion transmembrane transport	472	19	0.000293027063927284	0.0573175120678474
BP	negative regulation of cytokine production	362	16	0.000315595741393549	0.0600052702969601
BP	negative regulation of cell differentiation	675	24	0.000313359390995426	0.0600052702969601
BP	innate immune response in mucosa	21	4	0.00032959343947537	0.0612134168527303
BP	negative regulation of peptidase activity	258	13	0.000332681613330056	0.0612134168527303
BP	cellular response to chemical stimulus	3027	73	0.000332098256014654	0.0612134168527303
BP	organic substance metabolic process	11394	219	0.000337930355800428	0.0616817519835405
BP	regulation of ion transmembrane transporter activity	259	13	0.0003452247863358	0.0624208168086132
BP	positive regulation of ion transmembrane transport	163	10	0.000347451075328448	0.0624208168086132
BP	positive regulation of apoptotic signaling pathway	134	9	0.000351784726727095	0.0627056275391047
BP	negative regulation of production of molecular mediator of immune response	38	5	0.000355905430617162	0.0629483589531873
BP	response to chemical	4321	97	0.000386566931004688	0.0673275656320836
BP	system development	4321	97	0.000386566931004688	0.0673275656320836
BP	regulation of cell differentiation	1549	43	0.000432906994866579	0.074827318142999
BP	negative regulation of macromolecule metabolic process	3228	76	0.000503336914330878	0.0822399935159443
BP	regulation of transmembrane transporter activity	269	13	0.000494448971863978	0.0822399935159443
BP	regulation of response to stimulus	3863	88	0.000488948174405966	0.0822399935159443
BP	action potential	142	9	0.000537827144612036	0.0864159445878043
BP	cation transport	1145	34	0.000555202961444284	0.0879688247799499
BP	metal ion transport	877	28	0.000571733371064587	0.0899632316842042
BP	regulation of biological quality	3722	85	0.000578927543315316	0.0904713070430292
BP	biological process involved in interspecies interaction between organisms	1525	42	0.000592599538213296	0.0919778983937044
BP	negative regulation of axonogenesis	64	6	0.000598941169444263	0.0923340656894616
BP	regulation of cation transmembrane transport	348	15	0.000624118944061224	0.0955697840785295
BP	defense response to other organism	1019	31	0.000655702436296719	0.0990762038844102
BP	myeloid cell differentiation	388	16	0.000669961529261452	0.100361817622197
BP	regulation of cellular component organization	2276	57	0.000673008331705651	0.100361817622197
BP	myeloid leukocyte differentiation	210	11	0.0006826569850007	0.101139621881662
BP	multicellular organism development	4780	104	0.000696891680284528	0.102582455337883
BP	glial cell proliferation	44	5	0.000711073811689034	0.103336688455395
BP	regulation of neutrophil migration	44	5	0.000711073811689034	0.103336688455395
BP	positive regulation of cation transmembrane transport	148	9	0.00072482829265196	0.104668875475615
BP	response to toxic substance	246	12	0.000742427873739599	0.106066765031071
BP	negative regulation of metabolic process	3436	79	0.000777405874988082	0.106066765031071
BP	positive regulation of transmembrane transport	213	11	0.000767298445855696	0.106066765031071
BP	cell motility	1739	46	0.000762863094162291	0.106066765031071
BP	localization of cell	1739	46	0.000762863094162291	0.106066765031071
BP	positive regulation of release of cytochrome c from mitochondria	26	4	0.000772184546026179	0.106066765031071
BP	positive regulation of serine-type endopeptidase activity	3	2	0.000780996516708444	0.106066765031071
BP	response to oxygen-containing compound	1640	44	0.000749771635703622	0.106066765031071
BP	regulation of leukocyte differentiation	282	13	0.00076718831959859	0.106066765031071
BP	positive regulation of serine-type peptidase activity	3	2	0.000780996516708444	0.106066765031071
BP	cell adhesion	1500	41	0.000798255648126351	0.107135299221475
BP	complement activation, lectin pathway	12	3	0.000838965608968663	0.108012521898731
BP	complement receptor mediated signaling pathway	12	3	0.000838965608968663	0.108012521898731
BP	negative regulation of immunoglobulin production	12	3	0.000838965608968663	0.108012521898731
BP	positive regulation of cellular process	5583	118	0.00081680199075494	0.108012521898731
BP	developmental growth	639	22	0.000842664310044449	0.108012521898731
BP	regulation of release of cytochrome c from mitochondria	46	5	0.000874030536127257	0.111407154817204
BP	organic anion transport	360	15	0.000880537335220263	0.111580354150003
BP	thyroid hormone metabolic process	27	4	0.000894951122433841	0.111580354150003
BP	animal organ development	3452	79	0.000890785967281171	0.111580354150003
BP	cellular response to lipopolysaccharide	217	11	0.000893542588031213	0.111580354150003
BP	organonitrogen compound metabolic process	6278	130	0.000902597010822767	0.111922029342023
BP	regulation of extrinsic apoptotic signaling pathway	153	9	0.000918418982799185	0.113268364927277
BP	metabolic process	11880	224	0.000950291636653172	0.116569107429456
BP	osteoclast differentiation	96	7	0.000975859848199085	0.117805387812224
BP	defense response to Gram-positive bacterium	96	7	0.000975859848199085	0.117805387812224
BP	proton transmembrane transport	124	8	0.000966534978437528	0.117805387812224
BP	locomotion	1914	49	0.00103735816993683	0.124570336869888
BP	innate immune response	780	25	0.00105748577707322	0.124800329748391
BP	negative regulation of hydrolase activity	367	15	0.00106773293118318	0.124800329748391
BP	negative regulation of glial cell proliferation	13	3	0.00107756245443693	0.124800329748391
BP	cellular response to biotic stimulus	256	12	0.00104839867873427	0.124800329748391
BP	regulation of hemopoiesis	367	15	0.00106773293118318	0.124800329748391
BP	neutrophil migration	126	8	0.00107226051956806	0.124800329748391
BP	tissue development	1919	49	0.00109632336016876	0.126331887806113
BP	regulation of transmembrane transport	569	20	0.00111885424736036	0.128280294008914
BP	regulation of cell fate commitment	29	4	0.00118058678808763	0.133347862163403
BP	membrane repolarization during action potential	29	4	0.00118058678808763	0.133347862163403
BP	regulation of cardiac muscle cell membrane repolarization	29	4	0.00118058678808763	0.133347862163403
BP	response to lipopolysaccharide	333	14	0.00118888803006957	0.133623986670282
BP	rhythmic process	297	13	0.00122924597165724	0.137482725928096
BP	regulation of glial cell proliferation	30	4	0.0013449228861262	0.148960002766288
BP	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	14	3	0.00135499288601291	0.149350326991645
BP	regulation of transporter activity	301	13	0.00138566027277592	0.150548689445978
BP	cellular response to molecule of bacterial origin	229	11	0.00137935914660023	0.150548689445978
