ONTOLOGY	TERM	N	DE	P.DE	FDR
CC	cellular_component	18648	369	1.60102574132451e-19	1.217633443802e-15
CC	cellular anatomical entity	18486	365	4.24191706674944e-18	2.41958949487388e-14
CC	cytoplasm	11784	258	6.95773619177578e-12	2.26782441359366e-08
CC	cell periphery	5911	149	1.55241283213524e-09	3.54198511779976e-06
CC	intracellular anatomical structure	14952	298	2.00884562949477e-09	3.75773052939272e-06
CC	extracellular space	3402	95	5.04465371409912e-08	6.05783258636239e-05
CC	plasma membrane	5427	134	6.72148920873846e-08	7.30273798983699e-05
CC	extracellular region	4361	112	1.91599415292292e-07	0.000190066619969954
CC	intrinsic component of membrane	5359	131	1.89007202743766e-07	0.000190066619969954
CC	integral component of membrane	5194	127	3.22559764177761e-07	0.000262840127838564
CC	membrane	9099	194	1.14281704533777e-06	0.000790136778982623
CC	integral component of plasma membrane	1637	53	1.25439043704094e-06	0.000795004783653504
CC	vesicle	4026	102	1.61861437534107e-06	0.000965781926461893
CC	cell surface	861	34	1.9604910942978e-06	0.00106501344779758
CC	intrinsic component of plasma membrane	1718	54	2.39197206819652e-06	0.00126919150483655
CC	secretory vesicle	1018	37	4.65802332865809e-06	0.00221411375555548
CC	secretory granule	859	32	1.29132475643039e-05	0.00535688466231197
CC	organelle	14191	271	1.42576888051383e-05	0.00580898978175062
CC	tertiary granule	164	12	1.62788455172034e-05	0.00629522270034766
CC	cytoplasmic vesicle	2430	66	2.15841877814301e-05	0.0078169020384303
CC	intracellular vesicle	2433	66	2.24343793476589e-05	0.0079978562374404
CC	endomembrane system	4594	106	6.14456150779632e-05	0.0194714326891501
CC	membrane-bounded organelle	13387	255	6.69438820540339e-05	0.0209231727800663
CC	intracellular organelle	13296	253	8.49191012900864e-05	0.0251625222731768
CC	intracellular membrane-bounded organelle	12242	236	9.35126276480917e-05	0.0266698014052358
CC	secretory granule lumen	320	15	0.000259578685230138	0.0540939916225652
CC	tertiary granule lumen	55	6	0.000261754745106732	0.0540939916225652
CC	cytoplasmic vesicle lumen	323	15	0.000286691679804122	0.0573175120678474
CC	vesicle lumen	325	15	0.000306093500873338	0.0591849942027634
CC	specific granule lumen	62	6	0.000504628291209336	0.0822399935159443
CC	somatodendritic compartment	826	27	0.000501338420521591	0.0822399935159443
CC	plasma membrane region	1229	36	0.00049136758668192	0.0822399935159443
CC	apical plasma membrane	356	15	0.000786640995815536	0.106201189115546
CC	Golgi trans cisterna	12	3	0.000838965608968663	0.108012521898731
CC	Golgi medial cisterna	12	3	0.000838965608968663	0.108012521898731
CC	extracellular exosome	2144	54	0.000828063114763666	0.108012521898731
CC	growth cone	161	9	0.00131381798452662	0.146224737243704
CC	radial spoke	4	2	0.00154518587420655	0.158093995093707
CC	apical part of cell	422	16	0.00160516635371339	0.163497658599664
CC	distal axon	270	12	0.00164677603017138	0.166990408463956
CC	site of polarized growth	167	9	0.00169227946441875	0.167630295479372
CC	extracellular organelle	2233	54	0.00204441473848344	0.190389251727503
CC	extracellular membrane-bounded organelle	2233	54	0.00204441473848344	0.190389251727503
CC	extracellular vesicle	2232	54	0.00202479583500444	0.190389251727503
CC	cell junction	2061	50	0.00282264168318834	0.239410381574815
CC	ficolin-1-rich granule membrane	61	5	0.00311146805011127	0.250852491276815
CC	dendrite membrane	40	4	0.00394870312706343	0.297268091706261
CC	collagen-containing extracellular matrix	429	15	0.0047112173050584	0.344796645938318
CC	dendrite	606	19	0.00514409531757746	0.362483804450809
CC	dendritic tree	608	19	0.00532375345687485	0.364765041657828
CC	extracellular matrix	567	18	0.00562901666013322	0.379975278454437
CC	external encapsulating structure	568	18	0.00572912202144212	0.384457788356539
CC	Bcl-2 family protein complex	8	2	0.00690648854007463	0.416874186588208
CC	serine-type endopeptidase complex	9	2	0.00878486503517072	0.474965593939467
CC	U12-type spliceosomal complex	28	3	0.0103101316831611	0.517672155853932
CC	vesicle membrane	1180	30	0.0106354731546845	0.517672155853932
CC	neuron projection membrane	57	4	0.0137681237164709	0.517672155853932
CC	ARC complex	1	1	0.0162427340561485	0.517672155853932
CC	cytosolic aryl hydrocarbon receptor complex	1	1	0.0162427340561485	0.517672155853932
CC	specific granule	160	7	0.0159121243378	0.517672155853932
CC	contractile fiber	238	9	0.01625516439449	0.517672155853932
CC	activin A complex	1	1	0.0162427340561485	0.517672155853932
CC	activin complex	1	1	0.0162427340561485	0.517672155853932
CC	ficolin-1-rich granule	185	8	0.0109933554828415	0.517672155853932
CC	hinge region between urothelial plaques of apical plasma membrane	1	1	0.0162427340561485	0.517672155853932
CC	apical distal dendrite	1	1	0.0162427340561485	0.517672155853932
CC	serine-type peptidase complex	11	2	0.0131365432415751	0.517672155853932
CC	cell body	545	16	0.0172592973400064	0.543156038771843
CC	external side of plasma membrane	367	12	0.0175366702330781	0.547355223034077
CC	SCF ubiquitin ligase complex	62	4	0.0182610376282379	0.55749516199645
CC	CatSper complex	13	2	0.01823578537058	0.55749516199645
CC	neuron projection	1338	32	0.018980646519648	0.570695124091935
CC	basal plasma membrane	250	9	0.0215914175006963	0.622793655747011
CC	postsynapse	607	17	0.0216401404446396	0.623410914627396
CC	serine/threonine protein kinase complex	98	5	0.0219073934162248	0.627150675262967
CC	ion channel complex	293	10	0.0221541999744085	0.631837783270131
CC	cytoplasmic vesicle membrane	1161	28	0.0247229984601633	0.668568570674842
CC	dystrophin-associated glycoprotein complex	17	2	0.0304697628520506	0.678840265355564
CC	basolateral plasma membrane	225	8	0.0312718735578811	0.678840265355564
CC	BLOC-3 complex	2	1	0.032222300463713	0.678840265355564
CC	integrin alpha4-beta7 complex	2	1	0.032222300463713	0.678840265355564
CC	integrin alphav-beta6 complex	2	1	0.032222300463713	0.678840265355564
CC	neuronal cell body	481	14	0.0265289203245914	0.678840265355564
CC	inhibin A complex	2	1	0.032222300463713	0.678840265355564
CC	DNA packaging complex	181	7	0.0288597261177871	0.678840265355564
CC	basal part of cell	268	9	0.0317979244200053	0.678840265355564
CC	inflammasome complex	17	2	0.0304697628520506	0.678840265355564
CC	interleukin-23 complex	2	1	0.032222300463713	0.678840265355564
CC	prominosome	2	1	0.032222300463713	0.678840265355564
CC	primary dendrite	2	1	0.032222300463713	0.678840265355564
CC	distal dendrite	2	1	0.032222300463713	0.678840265355564
