ONTOLOGY	TERM	N	DE	P.DE	FDR
MF	molecular_function	17849	365	2.07069798665304e-22	4.72450452634759e-18
MF	binding	16139	329	1.86623698579468e-14	7.09667717798189e-11
MF	protein binding	13732	286	2.85129803945299e-11	8.13190200851994e-08
MF	molecular function regulator activity	1926	66	5.58922110532429e-09	7.97022929619244e-06
MF	enzyme regulator activity	1220	42	3.99867940750833e-06	0.00198334498612413
MF	peptidase regulator activity	226	13	9.05167365321678e-05	0.0264773059066403
MF	endopeptidase inhibitor activity	176	11	0.000151199446298565	0.0387614220982928
MF	enzyme inhibitor activity	385	17	0.000209194480327014	0.0487038904402158
MF	peptidase inhibitor activity	183	11	0.000212605790102229	0.048998118252247
MF	calcium ion binding	702	25	0.000230323770327584	0.0510200693572249
MF	serine-type peptidase activity	185	11	0.00023360902588656	0.0512502262944976
MF	serine hydrolase activity	189	11	0.000280911182448941	0.0567191994580091
MF	endopeptidase regulator activity	190	11	0.000293923076434876	0.0573175120678474
MF	aryl sulfotransferase activity	9	3	0.000332170807238382	0.0612134168527303
MF	serine-type endopeptidase activity	168	10	0.000441428459324717	0.0757265543455094
MF	catalytic activity	5397	116	0.000482627951143999	0.0821764129350857
MF	signaling receptor binding	1468	41	0.000523811675924999	0.0847609021127998
MF	antiporter activity	87	7	0.000541714790197658	0.0864319206513969
MF	complement receptor activity	11	3	0.000636875794598672	0.0968730541970886
MF	snRNA binding	48	5	0.0010632680316188	0.124800329748391
MF	transporter activity	1208	34	0.00138250773199301	0.150548689445978
MF	opsonin receptor activity	4	2	0.00154518587420655	0.158093995093707
MF	purine-rich negative regulatory element binding	4	2	0.00154518587420655	0.158093995093707
MF	cysteine-type endopeptidase activity involved in apoptotic process	15	3	0.00167344147308032	0.167630295479372
MF	secondary active transmembrane transporter activity	238	11	0.00187103160551726	0.180124291609628
MF	tropomyosin binding	16	3	0.00203495568792733	0.190389251727503
MF	lipopolysaccharide binding	34	4	0.00216271005198603	0.192751533383255
MF	endopeptidase activity	410	15	0.00310797623332056	0.250852491276815
MF	inorganic anion transmembrane transporter activity	151	8	0.00334617551937051	0.267881897017395
MF	transmembrane transporter activity	1093	30	0.00375646128042429	0.286560262449011
MF	kinase regulator activity	231	10	0.00470467263741179	0.344796645938318
MF	active transmembrane transporter activity	389	14	0.00485510055297246	0.35278335737777
MF	bicarbonate transmembrane transporter activity	22	3	0.00520697396387481	0.362483804450809
MF	solute:proton antiporter activity	22	3	0.00520697396387481	0.362483804450809
MF	sialic acid binding	22	3	0.00520697396387481	0.362483804450809
MF	anion transmembrane transporter activity	314	12	0.00556022660378443	0.377461765508077
MF	hydrolase activity	2296	53	0.00579248543831553	0.387569934781839
MF	heparin binding	168	8	0.00632843783629566	0.413723890180292
MF	anion:anion antiporter activity	24	3	0.00668153216589648	0.416874186588208
MF	arginine binding	8	2	0.00690648854007463	0.416874186588208
MF	solute:anion antiporter activity	24	3	0.00668153216589648	0.416874186588208
MF	inorganic molecular entity transmembrane transporter activity	716	21	0.00706200460249677	0.42313310839523
MF	carboxylic acid binding	172	8	0.0072571663675382	0.428962455548579
MF	enzyme activator activity	538	17	0.00733900709953438	0.431563881399424
MF	carbohydrate derivative binding	2224	51	0.0076640866493306	0.442693167066144
MF	peptidase activity	586	18	0.00779426439891364	0.446818935994004
MF	immune receptor activity	140	7	0.00804296645245381	0.453106969331324
MF	channel regulator activity	141	7	0.00834858579150523	0.463458232162977
MF	structural constituent of myelin sheath	9	2	0.00878486503517072	0.474965593939467
MF	7SK snRNA binding	9	2	0.00878486503517072	0.474965593939467
MF	complement component C4b receptor activity	1	1	0.0162427340561485	0.517672155853932
MF	dystroglycan binding	11	2	0.0131365432415751	0.517672155853932
MF	aromatic-L-amino-acid decarboxylase activity	1	1	0.0162427340561485	0.517672155853932
MF	metallocarboxypeptidase activity	29	3	0.0113635407095158	0.517672155853932
MF	glucan 1,4-alpha-glucosidase activity	1	1	0.0162427340561485	0.517672155853932
MF	gluconolactonase activity	1	1	0.0162427340561485	0.517672155853932
MF	iodide peroxidase activity	1	1	0.0162427340561485	0.517672155853932
MF	xylulokinase activity	1	1	0.0162427340561485	0.517672155853932
MF	complement component C3b receptor activity	1	1	0.0162427340561485	0.517672155853932
MF	epidermal growth factor receptor binding	32	3	0.0148842898903114	0.517672155853932
MF	extracellularly glutamate-gated ion channel activity	1	1	0.0162427340561485	0.517672155853932
MF	intracellularly ATP-gated chloride channel activity	1	1	0.0162427340561485	0.517672155853932
MF	glycosaminoglycan binding	233	9	0.0143450187431519	0.517672155853932
MF	monocarboxylic acid transmembrane transporter activity	59	4	0.0154698545950028	0.517672155853932
MF	sarcosine oxidase activity	1	1	0.0162427340561485	0.517672155853932
MF	JAK pathway signal transduction adaptor activity	1	1	0.0162427340561485	0.517672155853932
MF	tetracycline transmembrane transporter activity	1	1	0.0162427340561485	0.517672155853932
MF	lithium:proton antiporter activity	1	1	0.0162427340561485	0.517672155853932
MF	potassium ion transmembrane transporter activity	153	7	0.0127136878627924	0.517672155853932
MF	sodium ion transmembrane transporter activity	150	7	0.0114957689815208	0.517672155853932
MF	arsenite transmembrane transporter activity	1	1	0.0162427340561485	0.517672155853932
MF	oxoglutarate:malate antiporter activity	1	1	0.0162427340561485	0.517672155853932
MF	lipoate synthase activity	1	1	0.0162427340561485	0.517672155853932
MF	myosin I binding	1	1	0.0162427340561485	0.517672155853932
MF	chloride channel inhibitor activity	10	2	0.010863876433034	0.517672155853932
MF	tRNA (m5U54) methyltransferase activity	1	1	0.0162427340561485	0.517672155853932
MF	S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity	1	1	0.0162427340561485	0.517672155853932
MF	somatostatin receptor binding	1	1	0.0162427340561485	0.517672155853932
MF	inhibitory MHC class I receptor activity	11	2	0.0131365432415751	0.517672155853932
MF	receptor serine/threonine kinase binding	29	3	0.0113635407095158	0.517672155853932
MF	5-hydroxy-L-tryptophan decarboxylase activity	1	1	0.0162427340561485	0.517672155853932
MF	L-dopa decarboxylase activity	1	1	0.0162427340561485	0.517672155853932
MF	G protein-coupled enkephalin receptor activity	1	1	0.0162427340561485	0.517672155853932
MF	active borate transmembrane transporter activity	1	1	0.0162427340561485	0.517672155853932
MF	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond	1	1	0.0162427340561485	0.517672155853932
MF	betaine-homocysteine S-methyltransferase activity	1	1	0.0162427340561485	0.517672155853932
