Description	N	DE	P.DE	FDR	SigGenesInSet
Starch and sucrose metabolism	35	3	0.0213085541761697	0.779733708133235	G6PC1,ENPP3,MGAM
Cytokine-cytokine receptor interaction	290	11	0.0124155752364093	0.762072560144771	TNFRSF13C,XCR1,IFNGR2,CXCL8,INHBA,IL23A,CCL1,TGFBR1,TNF,TNFSF12,IL32,GDF3
NF-kappa B signaling pathway	103	5	0.0416154857753204	0.779733708133235	TNFRSF13C,CXCL8,LBP,PLAU,TNF,MAP3K14
Apoptosis	135	6	0.0438855141505231	0.779733708133235	CTSK,LMNB1,PMAIP1,TNF,CASP6,MAP3K14
Osteoclast differentiation	127	8	0.00231062052827708	0.535559098761256	LILRB2,OSCAR,CTSK,LILRA4,IFNGR2,TGFBR1,TNF,MAP3K14,SOCS3
Neutrophil extracellular trap formation	175	9	0.00454530491600044	0.535559098761256	PPIF,CR1,PADI4,FPR1,AQP9,CAMP,H4C9,H3C6,H3C12,H2BC12
NOD-like receptor signaling pathway	184	7	0.0401913741147666	0.779733708133235	TXNIP,DEFA5,PYCARD,CXCL8,MEFV,TNF,CAMP
Th17 cell differentiation	106	6	0.0141452757625292	0.762072560144771	AHR,TBX21,IFNGR2,IL23A,STAT5A,TGFBR1
Pertussis	76	5	0.0151548520483335	0.762072560144771	CFL2,PYCARD,CXCL8,IL23A,TNF
Legionellosis	57	5	0.0045644241371698	0.535559098761256	CR1,PYCARD,HSPA2,CXCL8,TNF
Chagas disease	102	5	0.039950379075576	0.779733708133235	IFNGR2,CXCL8,PPP2R2C,TGFBR1,TNF
Hepatitis C	157	7	0.0198809524372299	0.779733708133235	CLDN16,CLDN19,PPP2R2C,RB1,BRAF,TNF,SOCS3
Influenza A	167	7	0.0276333980151694	0.779733708133235	PYCARD,IFNGR2,CXCL8,KPNA1,PRSS3,TNF,SOCS3
Bladder cancer	41	3	0.0412898865930805	0.779733708133235	CXCL8,RB1,BRAF
Inflammatory bowel disease	63	4	0.0312575517896418	0.779733708133235	TBX21,IFNGR2,IL23A,TNF
Hypertrophic cardiomyopathy	90	5	0.0278172818646872	0.779733708133235	CACNG5,ITGB6,ITGB7,SGCB,TNF
Dilated cardiomyopathy	95	6	0.00883915342735445	0.762072560144771	ADCY4,CACNG5,ITGB6,ITGB7,SGCB,TNF
